ticket_id,timestamp,category,priority,resolution_time_hrs,customer_sentiment
TICK-102077,2025-03-22 17:48:26.097623,Shipping Update,High,1.62,Neutral
TICK-101307,2025-03-22 18:40:21.101892,Shipping Update,Low,1.0,Neutral
TICK-102861,2025-03-22 21:23:41.932613,Refund Request,Medium,2.43,Neutral
TICK-100031,2025-03-22 22:04:03.057587,Shipping Update,Low,2.1,Negative
TICK-104244,2025-03-22 22:45:07.168023,Shipping Update,Low,1.01,Neutral
TICK-103833,2025-03-22 22:47:32.023116,Product Question,Medium,1.7,Negative
TICK-100731,2025-03-22 23:02:42.483256,Billing Inquiry,Low,3.38,Positive
TICK-104290,2025-03-23 02:40:14.495402,Product Question,Low,3.68,Neutral
TICK-106767,2025-03-23 05:00:09.121554,Refund Request,Medium,2.24,Negative
TICK-107932,2025-03-23 05:17:39.055115,Billing Inquiry,Medium,4.66,Neutral
TICK-104841,2025-03-23 06:06:39.309840,Shipping Update,Low,1.03,Positive
TICK-104548,2025-03-23 06:15:55.419961,Product Question,Low,3.54,Negative
TICK-102035,2025-03-23 07:45:40.648113,Shipping Update,Low,3.02,Negative
TICK-100092,2025-03-23 07:52:23.891199,Technical Issue,Low,18.12,Negative
TICK-108846,2025-03-23 09:06:47.922931,Shipping Update,Low,0.87,Positive
TICK-108523,2025-03-23 11:27:16.591367,Product Question,Medium,2.0,Neutral
TICK-106766,2025-03-23 12:33:41.127051,Shipping Update,Low,2.35,Neutral
TICK-109010,2025-03-23 14:10:43.895603,Shipping Update,Medium,1.15,Positive
TICK-100629,2025-03-23 14:43:18.954334,Refund Request,Medium,3.1,Negative
TICK-106969,2025-03-23 15:57:24.337522,Product Question,Low,4.18,Neutral
TICK-100171,2025-03-23 16:29:49.329301,Product Question,Low,2.16,Neutral
TICK-103504,2025-03-23 17:02:11.449730,Product Question,Medium,2.45,Neutral
TICK-109972,2025-03-23 17:33:15.922484,Billing Inquiry,Medium,7.01,Negative
TICK-103707,2025-03-23 19:59:12.832541,Product Question,Low,5.15,Neutral
TICK-108684,2025-03-23 22:01:01.969238,Billing Inquiry,Medium,7.09,Neutral
TICK-101375,2025-03-23 22:01:48.655548,Technical Issue,Medium,22.07,Neutral
TICK-103528,2025-03-23 22:12:46.446544,Shipping Update,Medium,0.48,Negative
TICK-105697,2025-03-23 23:06:28.477211,Product Question,Medium,2.23,Neutral
TICK-106509,2025-03-23 23:15:20.940448,Shipping Update,Low,1.77,Negative
TICK-105920,2025-03-24 00:10:07.974184,Technical Issue,Medium,39.61,Neutral
TICK-106906,2025-03-24 00:31:54.542698,Shipping Update,Low,0.63,Neutral
TICK-105930,2025-03-24 01:52:17.899643,Shipping Update,Medium,0.68,Positive
TICK-103178,2025-03-24 02:42:21.779432,Refund Request,Low,2.95,Positive
TICK-106950,2025-03-24 04:44:08.621224,Shipping Update,Low,0.59,Neutral
TICK-104919,2025-03-24 05:46:24.122372,Technical Issue,Low,40.25,Positive
TICK-109771,2025-03-24 08:10:41.893203,Shipping Update,Low,1.12,Neutral
TICK-101406,2025-03-24 09:05:28.563159,Shipping Update,Low,0.57,Neutral
TICK-109343,2025-03-24 09:09:06.220250,Refund Request,Low,2.39,Neutral
TICK-104752,2025-03-24 10:06:24.983752,Billing Inquiry,Low,4.55,Neutral
TICK-105741,2025-03-24 10:49:13.212600,Shipping Update,Low,0.67,Negative
TICK-105998,2025-03-24 10:59:36.207145,Product Question,Low,3.62,Neutral
TICK-106525,2025-03-24 11:13:01.440979,Shipping Update,Low,1.12,Neutral
TICK-104844,2025-03-24 11:21:42.978792,Product Question,Low,4.78,Negative
TICK-100961,2025-03-24 11:23:05.993009,Shipping Update,Low,1.7,Negative
TICK-105601,2025-03-24 12:39:07.502875,Shipping Update,Low,0.96,Neutral
TICK-107691,2025-03-24 13:32:55.091944,Refund Request,Low,1.58,Neutral
TICK-109571,2025-03-24 17:44:25.525810,Shipping Update,Low,0.8,Neutral
TICK-105102,2025-03-24 19:46:10.413018,Shipping Update,High,1.1,Negative
TICK-104183,2025-03-24 20:15:15.487710,Technical Issue,Medium,18.99,Neutral
TICK-104669,2025-03-24 22:33:06.773838,Billing Inquiry,High,5.07,Neutral
TICK-104614,2025-03-25 00:01:02.868774,Billing Inquiry,Low,5.11,Positive
TICK-100687,2025-03-25 00:55:40.651757,Product Question,Low,2.58,Neutral
TICK-100530,2025-03-25 02:58:55.031401,Product Question,Low,3.87,Neutral
TICK-108240,2025-03-25 05:33:53.644454,Product Question,Medium,3.27,Positive
TICK-104942,2025-03-25 06:09:03.270271,Refund Request,Low,2.07,Neutral
TICK-100292,2025-03-25 12:23:47.682235,Shipping Update,Low,0.79,Positive
TICK-107750,2025-03-25 13:11:50.447812,Technical Issue,Medium,24.21,Positive
TICK-108465,2025-03-25 13:11:50.631714,Product Question,Low,2.58,Positive
TICK-107454,2025-03-25 13:16:12.954974,Shipping Update,Low,0.66,Negative
TICK-108430,2025-03-25 13:24:28.996994,Shipping Update,Low,0.74,Neutral
TICK-105571,2025-03-25 15:48:51.226722,Shipping Update,Low,0.81,Neutral
TICK-107200,2025-03-25 16:32:55.435815,Product Question,Low,3.17,Negative
